Seg,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,135
1,0,0,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,135
2,0,0,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,90
3,0,0,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,135
4,0,0,30.984497,175,175,3.60E+02,3.40E+38,3.40E+38,0,25,0,5.72E-06,200,135
5,0,0,25,175,175,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,175,135
0,0,1,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,1,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0.00E+00,200,328.3333
2,0,1,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,1,28.655655,200,200,3.60E+02,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,1,30.984497,175,175,360,3.40E+38,3.40E+38,0,25,0,5.72E-06,200,328.3333
5,0,1,25,175,175,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
0,0,2,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0.00E+00,200,328.3333
1,0,2,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,2,31.952667,200,200,3.60E+02,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,2,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,2,30.984497,175,175,360,3.40E+38,3.40E+38,0,25,0,5.72E-06,200,328.3333
5,0,2,25,175,175,3.40E+38,3.40E+38,3.40E+38,0,0,0,0.00E+00,175,358.54166
0,0,3,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,3,28.655655,200,200,2.40E+02,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,3,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,3,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,3,30.984497,175,175,360,3.40E+38,3.40E+38,0,25,0,5.72E-06,200,328.3333
5,0,3,25,175,175,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
0,0,4,28.655655,200,200,3.60E+02,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,4,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,4,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,4,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,4,30.984497,175,175,360,3.40E+38,3.40E+38,0,25,0,5.72E-06,200,328.3333
5,0,4,25,175,175,3.40E+38,3.40E+38,3.40E+38,0,0,0,0.00E+00,175,358.54166
0,1,0,37.9993,255,255,360,3.40E+38,3.40E+38,0,0,0,0,255,328.3333
1,1,0,52.9993,240,255,240,3.40E+38,3.40E+38,0,0,0,14.999989,240,328.3333
2,1,0,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,138.33333
3,1,0,35.217407,240,240,360,3.40E+38,3.40E+38,0,0,0,1.53E-05,240,328.3333
4,1,0,37.191223,216.47058,216.47058,3.60E+02,3.40E+38,3.40E+38,0,23.529411,0,0,240,328.3333
5,1,0,30.993286,216.47058,216.47058,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,216.47058,358.54166
0,1,1,37.9993,255,255,360,3.27E+02,3.40E+38,0,0,0,0,255,261.875
1,1,1,67.9993,240,270,240,3.40E+38,3.40E+38,0,0,0,29.999989,240,280
2,1,1,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0.00E+00,240,90
3,1,1,35.217392,240.00002,240.00002,3.60E+02,3.40E+38,3.40E+38,0,0,0,0,240.00002,280
4,1,1,37.191208,216.4706,216.4706,360,3.40E+38,3.40E+38,0,23.529413,0,0,240.00002,280
