Seg,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,135
1,0,0,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,135
2,0,0,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,90
3,0,0,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,135
4,0,0,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,135
0,0,1,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,1,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,1,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,1,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,1,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,2,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,2,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,2,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,2,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,2,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,3,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,3,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,3,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,3,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,3,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,4,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,4,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,4,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,4,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,4,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,1,0,37.9993,255,255,360,3.40E+38,3.40E+38,0,0,0,0,255,328.3333
1,1,0,52.9993,240,255,240,3.40E+38,3.40E+38,0,0,0,14.999989,240,328.3333
2,1,0,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,138.33333
3,1,0,35.217407,240,240,360,3.40E+38,3.40E+38,0,0,0,1.53E-05,240,328.3333
4,1,0,35.217407,240,240,3.40E+38,3.40E+38,3.40E+38,0,0,0,1.53E-05,240,328.3333
0,1,1,37.9993,255,255,360,327.0007,3.40E+38,0,0,0,0,255,261.875
1,1,1,67.9993,240,270,240,3.40E+38,3.40E+38,0,0,0,29.999989,240,280
2,1,1,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,90
3,1,1,35.217392,240.00002,240.00002,360,3.40E+38,3.40E+38,0,0,0,0,240.00002,280
4,1,1,35.217377,240.00003,240.00003,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,240.00003,280
0,1,2,37.9993,255,255,327.0007,312.0007,3.40E+38,0,0,0,0,255,261.875
1,1,2,82.9993,240,285,240,3.40E+38,3.40E+38,0,0,0,44.99999,240,280
2,1,2,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,90
3,1,2,35.217407,240,240,360,3.40E+38,3.40E+38,0,0,0,1.53E-05,240,279.99997
4,1,2,35.217377,240,240,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,240,279.99997
0,1,3,37.9993,255,255,312.0007,297.0007,3.40E+38,0,0,0,0,255,261.875
1,1,3,97.9993,240,300,240,3.40E+38,3.40E+38,0,0,0,59.99999,240,280
2,1,3,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,90
